Heroe,Físico,Mágico,Verdadero
Miya,1.0,0.0,0.0
Balmond,1.0,0.0,1.0
Saber,1.0,0.0,0.0
Alice,0.0,1.0,0.0
Nana,0.0,1.0,0.0
Tigreal,1.0,0.0,0.0
Alucard,1.0,0.0,0.0
Karina,0.0,1.0,1.0
Akai,1.0,0.0,0.0
Franco,1.0,0.0,0.0
Bane,1.0,1.0,0.0
Bruno,1.0,0.0,0.0
Clint,1.0,0.0,0.0
Rafaela,0.0,1.0,1.0
Eudora,0.0,1.0,0.0
Zilong,1.0,0.0,0.0
Fanny,1.0,0.0,0.0
Layla,1.0,0.0,0.0
Minotaur,1.0,0.0,1.0
Lolita,1.0,0.0,0.0
Hayabusa,1.0,0.0,0.0
Freya,1.0,0.0,0.0
Gord,0.0,1.0,1.0
Natalia,1.0,0.0,0.0
Kagura,0.0,1.0,0.0
Chou,1.0,0.0,0.0
Sun,1.0,0.0,0.0
Alpha,1.0,0.0,1.0
Ruby,1.0,0.0,0.0
Yi Sun-shin,1.0,0.0,0.0
Moskov,1.0,0.0,0.0
Johnson,0.0,1.0,0.0
Cyclops,0.0,1.0,0.0
Estes,0.0,1.0,0.0
Hilda,1.0,0.0,0.0
Aurora,0.0,1.0,0.0
Lapu-Lapu,1.0,0.0,0.0
Vexana,0.0,1.0,0.0
Roger,1.0,0.0,0.0
Karrie,1.0,0.0,1.0
Gatotkaca,0.0,1.0,0.0
Harley,0.0,1.0,0.0
Irithel,1.0,0.0,0.0
Grock,1.0,0.0,0.0
Argus,1.0,0.0,0.0
Odette,0.0,1.0,0.0
Lancelot,1.0,0.0,0.0
Diggie,0.0,1.0,0.0
Hylos,0.0,1.0,0.0
Zhask,0.0,1.0,0.0
Helcurt,1.0,0.0,0.0
Pharsa,0.0,1.0,0.0
Lesley,1.0,0.0,1.0
Jawhead,1.0,0.0,0.0
Angela,0.0,1.0,0.0
Gusion,0.0,1.0,0.0
Valir,0.0,1.0,0.0
Martis,1.0,0.0,1.0
Uranus,0.0,1.0,0.0
Hanabi,1.0,0.0,0.0
Chang'e,0.0,1.0,0.0
Kaja,0.0,1.0,0.0
Selena,0.0,1.0,0.0
Aldous,1.0,0.0,0.0
Claude,1.0,0.0,0.0
Vale,0.0,1.0,0.0
Leomord,1.0,0.0,0.0
Lunox,0.0,1.0,0.0
Hanzo,1.0,0.0,0.0
Belerick,0.0,1.0,0.0
Kimmy,0.0,1.0,0.0
Thamuz,1.0,0.0,1.0
Harith,0.0,1.0,0.0
Minsitthar,1.0,0.0,0.0
Kadita,0.0,1.0,0.0
Faramis,0.0,1.0,0.0
Badang,1.0,0.0,0.0
Khufra,1.0,1.0,0.0
Granger,1.0,0.0,0.0
Guinevere,0.0,1.0,0.0
Esmeralda,1.0,1.0,0.0
Terizla,1.0,0.0,0.0
X.Borg,1.0,0.0,1.0
Ling,1.0,0.0,0.0
Dyrroth,1.0,0.0,0.0
Lylia,0.0,1.0,0.0
Baxia,0.0,1.0,0.0
Masha,1.0,0.0,0.0
Wanwan,1.0,0.0,1.0
Silvanna,0.0,1.0,0.0
Carmilla,0.0,1.0,0.0
Cecilion,0.0,1.0,0.0
Atlas,0.0,1.0,0.0
Popol,1.0,1.0,0.0
Yu Zhong,1.0,0.0,0.0
Luo Yi,0.0,1.0,0.0
Benedetta,1.0,0.0,0.0
Khaleed,1.0,0.0,0.0
Barats,1.0,0.0,0.0
Brody,1.0,0.0,0.0
Yve,0.0,1.0,0.0
Mathilda,0.0,1.0,0.0
Paquito,1.0,0.0,0.0
Gloo,0.0,1.0,0.0
Beatrix,1.0,0.0,0.0
Phoveus,0.0,1.0,0.0
Natan,0.0,1.0,0.0
Aulus,1.0,0.0,0.0
Aamon,0.0,1.0,0.0
Floryn,0.0,1.0,0.0
Valentina,0.0,1.0,0.0
Edith,1.0,1.0,0.0
Yin,1.0,0.0,0.0
Melissa,1.0,1.0,0.0
Xavier,0.0,1.0,0.0
Julian,0.0,1.0,0.0
Fredrinn,1.0,0.0,0.0
Joy,0.0,1.0,0.0
Arlott,1.0,0.0,0.0
Novaria,0.0,1.0,0.0
Ixia,1.0,0.0,0.0
Nolan,0.0,0.0,0.0
